lon,lat,E,N,H
101.1399335,12.65733371,732420.73,1400193.42,-4.2
101.1398871,12.65760818,732415.44,1400223.75,-4.13
101.1398312,12.65776281,732409.22,1400240.81,-3.59
101.1396138,12.65808014,732385.32,1400275.73,-2.63
101.1397129,12.65795607,732396.19,1400262.09,-2.52
101.13992,12.6578146,732418.83,1400246.62,-2.4
101.1398114,12.65800309,732406.86,1400267.38,-0.32
101.1402507,12.65688915,732455.6,1400144.51,-4.47
101.1400406,12.65713232,732432.55,1400171.23,-4.36
101.1401157,12.65701007,732440.82,1400157.77,-4.34
101.1402095,12.65713466,732450.9,1400171.64,-4.29
101.140168,12.65706315,732446.45,1400163.69,-4.28
101.1400276,12.65726391,732431.02,1400185.78,-4.24
101.1399849,12.65739078,732426.26,1400199.78,-4.21
101.1400498,12.65747059,732433.24,1400208.67,-4.2
101.140108,12.6572986,732439.72,1400189.69,-4.19
101.1399559,12.65767451,732422.85,1400231.15,-3.16
101.1406446,12.65557387,732499.59,1399999.32,-4.95
101.1404625,12.65601933,732479.4,1400048.45,-4.94
101.1405882,12.65595199,732493.12,1400041.11,-4.82
101.140449,12.65612021,732477.84,1400059.6,-4.78
101.140542,12.6561163,732487.95,1400059.25,-4.76
101.1405478,12.65630187,732488.41,1400079.79,-4.75
101.1403618,12.65630247,732468.2,1400079.69,-4.72
101.1404543,12.65637574,732478.19,1400087.88,-4.68
101.1403363,12.65647167,732465.28,1400098.39,-4.68
101.1404581,12.65655519,732478.44,1400107.74,-4.66
101.1404575,12.65625362,732478.64,1400074.37,-4.61
101.1403396,12.656672,732465.45,1400120.56,-4.61
101.1403884,12.65652448,732470.89,1400104.28,-4.49
101.1405088,12.65643522,732484.05,1400094.51,-4.49
101.1403531,12.65675349,732466.85,1400129.59,-4.47
101.1410097,12.65485989,732539.91,1399920.64,-5.22
101.1410031,12.65467513,732539.36,1399900.19,-5.17
101.1410207,12.6550747,732540.91,1399944.42,-5.13
101.1408538,12.65521423,732522.65,1399959.71,-5.01
101.1407552,12.65539414,732511.77,1399979.53,-5
101.1409324,12.65536198,732531.05,1399976.13,-4.95
101.1408285,12.65557899,732519.57,1400000.05,-4.94
101.1406608,12.65575033,732501.19,1400018.86,-4.94
101.1409305,12.65527036,732530.93,1399965.99,-4.89
101.1409242,12.65499261,732530.5,1399935.25,-4.88
101.1409291,12.65512036,732530.91,1399949.39,-4.85
101.1412466,12.65431385,732566.14,1399860.43,-5.34
101.1412487,12.65413101,732566.54,1399840.2,-5.26
101.1411381,12.65431653,732554.35,1399860.63,-5.24
101.1413722,12.6538608,732580.2,1399810.41,-5.2
101.1411089,12.65448667,732551.03,1399879.43,-5.2
101.1413397,12.65430271,732576.27,1399859.28,-5.18
101.1412404,12.65448389,732565.32,1399879.24,-5.17
101.1413593,12.65413076,732578.56,1399840.27,-5.17
101.1411049,12.65467711,732550.42,1399900.5,-5.12
101.1413782,12.65377029,732580.94,1399800.4,-5.1
101.1411974,12.65467763,732560.47,1399900.64,-5.1
101.141332,12.65439884,732575.35,1399869.91,-5.09
101.1413656,12.65401358,732579.35,1399827.31,-5.05
101.1411254,12.65486393,732552.48,1399921.19,-5.03
101.1416792,12.65304968,732614.29,1399720.93,-5.24
101.1416019,12.65338549,732605.59,1399758.02,-5.22
101.1417139,12.6532409,732617.89,1399742.12,-5.19
101.1415179,12.65378182,732596.11,1399801.8,-5.17
101.1416981,12.65337903,732616.05,1399757.39,-5.16
101.1414749,12.65393489,732591.29,1399818.7,-5.16
101.1414566,12.65413368,732589.12,1399840.68,-5.15
101.1415592,12.65359143,732600.76,1399780.77,-5.13
101.1416525,12.65359222,732610.9,1399780.94,-5.12
101.1418894,12.65251254,732637.62,1399661.68,-5.29
101.1418833,12.65285446,732636.65,1399699.51,-5.28
101.1420151,12.65214371,732651.61,1399620.98,-5.26
101.1420982,12.65195552,732660.82,1399600.23,-5.24
101.1420719,12.65233285,732657.62,1399641.96,-5.24
101.1419381,12.65267427,732642.77,1399679.62,-5.23
101.1419588,12.6523344,732645.32,1399642.03,-5.22
101.1417767,12.652925,732625,1399707.22,-5.21
101.1420613,12.65266578,732656.16,1399678.79,-5.21
101.1419938,12.65251007,732648.97,1399661.5,-5.2
101.1418001,12.65328612,732627.22,1399747.2,-5.2
101.1417862,12.65272113,732626.22,1399684.67,-5.18
101.1418001,12.65304654,732627.44,1399720.69,-5.17
101.1417885,12.65315951,732626.07,1399733.18,-5.14
101.141775,12.65282596,732624.91,1399696.26,-5.11
101.1424021,12.65123453,732694.49,1399520.72,-5.37
101.1421683,12.65177304,732668.6,1399580.1,-5.34
101.1422668,12.65166678,732679.4,1399568.43,-5.32
101.1423864,12.65177291,732692.3,1399580.28,-5.32
101.1424635,12.65159236,732700.84,1399560.37,-5.28
101.1424074,12.65141134,732694.91,1399540.29,-5.27
101.1421908,12.65195441,732670.88,1399600.19,-5.24
101.1423459,12.65160126,732688.05,1399561.25,-5.24
101.1422078,12.65214081,732672.56,1399620.83,-5.22
